id, ap_id, mac, bytes_used, avg_signal_quality, ssid, vlan, radio_mode, ap_radio_index, ap_radio_description, connect_time, disconnect_time, ht_mode, security_mode, authen_subtype, cipher, authen_type, interface_index, ap_folder_id, is_guest_user, from_snmp_trap, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, aruba_device_type, tunneled_device_id, average_bandwidth, avg_goodput, avg_speed, search_mac, lan_ips, lan_hostnames, from_snmp_poll, from_amon, bytes_in, bytes_out, avg_signal
33161,189,F0:79:60:B9:4C:65,0,21,eduroam,12,a,2,802.11ac,1496281613,1496282214,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,F07960B94C65,10.50.229.146,-,1,0,0,0,-74
33162,205,98:5F:D3:37:58:F0,0,4,tru,7,g,1,802.11bgn,1496281613,1496282515,0,\N,PAP,\N,CP (PAP),\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33758F0,10.20.135.6,-,1,0,0,0,-91.99555556
33163,237,D0:59:E4:84:1D:F5,10375800,26,tru,7,a,2,802.11ac,1496281012,1496282815,0,\N,PAP,\N,MAC (PAP),\N,7,0,0,0,0,0,0,0,0,0,Android,\N,55338,0,0,D059E4841DF5,10.20.131.173,-,1,0,3406500,6969300,-67.99830508
33164,205,98:F1:70:24:3E:B8,0,7,eduroam,12,a,2,802.11ac,1496282515,1496282815,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,98F170243EB8,10.50.103.4,-,1,0,0,0,-76
33165,205,70:48:0F:6B:D4:3C,11400,7,eduroam,12,g,1,802.11bgn,1496281613,1496282815,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,101,0,0,70480F6BD43C,10.50.28.188,-,1,0,11400,0,-88.44832215
33166,205,00:6F:64:D5:9E:78,0,3,tru,7,g,1,802.11bgn,1496282515,1496283116,0,\N,PAP,\N,Not Authenticated (PAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,006F64D59E78,10.20.102.229,-,1,0,0,0,-93
33167,206,68:A8:6D:07:1E:B4,0,37,tru,7,a,2,802.11ac,1496282214,1496283116,0,\N,PAP,\N,MAC (PAP),\N,7,0,0,0,0,0,0,0,0,0,OS X,\N,0,0,0,68A86D071EB4,10.20.143.105,-,1,0,0,0,-43
33168,237,A0:99:9B:3D:AA:95,0,0,eduroam,12,a,2,802.11ac,1496283116,1496283416,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,7,0,0,\N,\N,\N,\N,\N,\N,0,,\N,0,0,0,A0999B3DAA95,10.50.64.77,-,1,0,0,0,-94
33169,206,AC:5F:3E:26:40:60,283830000,30,eduroam,12,a,2,802.11ac,1496277995,1496283416,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,7,0,0,0,0,0,0,0,0,0,Android,\N,445224,0,0,AC5F3E264060,10.50.6.193,-,1,0,271216800,12613200,-49.92648148
33170,205,64:CC:2E:94:0B:6D,0,\N,eduroam,12,g,1,802.11bgn,1496283416,1496283717,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,64CC2E940B6D,10.50.48.195,-,1,0,0,0,\N
33171,237,78:6C:1C:2B:57:1B,0,\N,tru,7,g,1,802.11bgn,1496284318,1496284619,0,\N,PAP,\N,MAC (PAP),\N,7,0,0,10,0,21,0,10,0,0,,\N,0,0,0,786C1C2B571B,10.20.126.131,-,1,0,0,0,\N
33172,191,88:C9:D0:F0:7F:53,42249600,48,eduroam,12,a,2,802.11ac,1496269238,1496284619,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,22533,0,0,88C9D0F07F53,10.9.7.2\, 10.50.42.67,-,1,0,37443900,4805700
33173,191,AC:37:43:4C:31:71,1362000,56,eduroam,12,a,2,802.11ac,1496269238,1496284619,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,741,0,0,AC37434C3171,10.50.226.236,-,1,0,886500,475500,-39.1004
33174,211,60:D8:19:23:6E:CB,0,\N,eduroam,12,g,1,802.11bgn,1496285220,1496285521,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,7,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,60D819236ECB,10.50.241.128,-,1,0,0,0,\N
33175,203,AC:37:43:4C:31:71,145200,39,eduroam,12,a,2,802.11ac,1496284619,1496285521,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,1936,0,0,AC37434C3171,10.50.226.236,-,1,0,93900,51300,-56.95238095
